Accession,Description,Gene,MW [kDa],Control_3,Case_3
Q13033,Striatin-3 OS=Homo sapiens OX=9606 GN=STRN3 PE=1 SV=3,STRN3,87.2,205000.19121511155,208826.61717232573
Q01167,Forkhead box protein K2 OS=Homo sapiens OX=9606 GN=FOXK2 PE=1 SV=3,FOXK2,69.0,530618.01688373,341613.74901927693
Q659A1,Little elongation complex subunit 2 OS=Homo sapiens OX=9606 GN=ICE2 PE=1 SV=2,ICE2,109.9,68608.66599487739,136626.0022315515
Q9HD15,Steroid receptor RNA activator 1 OS=Homo sapiens OX=9606 GN=SRA1 PE=1 SV=2,SRA1,24.4,515436.8324301885,226607.27853642602
P52737,Zinc finger protein 136 OS=Homo sapiens OX=9606 GN=ZNF136 PE=1 SV=1,ZNF136,62.7,276669.89710290235,99156.83408263772
Q66PJ3,ADP-ribosylation factor-like protein 6-interacting protein 4 OS=Homo sapiens OX=9606 GN=ARL6IP4 PE=1 SV=3,ARL6IP4,26.4,254910.18916917703,577271.7538353318
P00505,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3",GOT2,47.5,163889.3778932948,490013.56076454266
Q9P253,Vacuolar protein sorting-associated protein 18 homolog OS=Homo sapiens OX=9606 GN=VPS18 PE=1 SV=2,VPS18,110.1,245226.50758840892,164942.10802741424
Q96KG7,Multiple epidermal growth factor-like domains protein 10 OS=Homo sapiens OX=9606 GN=MEGF10 PE=1 SV=1,MEGF10,122.1,132012.91603197297,2183874.9260097924
Q9Y6G9,Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3,DYNC1LI1,56.5,729222.5302921918,260074.23295743603
P23258,Tubulin gamma-1 chain OS=Homo sapiens OX=9606 GN=TUBG1 PE=1 SV=2,TUBG1,51.1,1832307.567140213,809852.8755063654
Q9H078,Mitochondrial disaggregase OS=Homo sapiens OX=9606 GN=CLPB PE=1 SV=1,CLPB,78.7,762330.777109326,250216.20665070417
Q9HC21,Mitochondrial thiamine pyrophosphate carrier OS=Homo sapiens OX=9606 GN=SLC25A19 PE=1 SV=1,SLC25A19,35.5,384503.2639747373,1706355.229561065
Q9Y2H2,Phosphatidylinositide phosphatase SAC2 OS=Homo sapiens OX=9606 GN=INPP5F PE=1 SV=3,INPP5F,128.3,298037.55387464195,429782.55406545586
A1L390,Pleckstrin homology domain-containing family G member 3 OS=Homo sapiens OX=9606 GN=PLEKHG3 PE=1 SV=1,PLEKHG3,134.3,190018.30177697135,1578265.4764047908
P18858,DNA ligase 1 OS=Homo sapiens OX=9606 GN=LIG1 PE=1 SV=1,LIG1,101.7,356094.88020455773,161680.00986944544
Q99729,Heterogeneous nuclear ribonucleoprotein A/B OS=Homo sapiens OX=9606 GN=HNRNPAB PE=1 SV=2,HNRNPAB,36.2,673143.531060048,1975322.5196138327
Q15056,Eukaryotic translation initiation factor 4H OS=Homo sapiens OX=9606 GN=EIF4H PE=1 SV=5,EIF4H,27.4,1291178.982737415,1527813.0276046535
P55769,NHP2-like protein 1 OS=Homo sapiens OX=9606 GN=SNU13 PE=1 SV=3,SNU13,14.2,482609.859142,899441.4678142073
Q9Y6K5,2'-5'-oligoadenylate synthase 3 OS=Homo sapiens OX=9606 GN=OAS3 PE=1 SV=3,OAS3,121.1,163426.2548466113,699329.7149990638
Q08495,Dematin OS=Homo sapiens OX=9606 GN=DMTN PE=1 SV=3,DMTN,45.5,1026394.1310415993,1710949.2460006273
O43768,Alpha-endosulfine OS=Homo sapiens OX=9606 GN=ENSA PE=1 SV=1,ENSA,13.4,1584784.2818799193,1990344.1915851722
Q9H3Y8,Pancreatic progenitor cell differentiation and proliferation factor OS=Homo sapiens OX=9606 GN=PPDPF PE=1 SV=1,PPDPF,11.8,827389.8909630289,513268.9706637222
Q8NFQ8,Torsin-1A-interacting protein 2 OS=Homo sapiens OX=9606 GN=TOR1AIP2 PE=1 SV=1,TOR1AIP2,51.2,1514636.2933695775,1779469.0018003294
P52655,Transcription initiation factor IIA subunit 1 OS=Homo sapiens OX=9606 GN=GTF2A1 PE=1 SV=1,GTF2A1,41.5,4004584.5126502323,3130354.1659280714
Q5VTL8,Pre-mRNA-splicing factor 38B OS=Homo sapiens OX=9606 GN=PRPF38B PE=1 SV=1,PRPF38B,64.4,1383629.6096329233,1097395.3902742693
Q86UU0,B-cell CLL/lymphoma 9-like protein OS=Homo sapiens OX=9606 GN=BCL9L PE=1 SV=1,BCL9L,157.0,182250.18947880823,259433.9785617823
Q13427,Peptidyl-prolyl cis-trans isomerase G OS=Homo sapiens OX=9606 GN=PPIG PE=1 SV=2,PPIG,88.6,744207.9445893036,1010215.5187067826
P40939,"Trifunctional enzyme subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=HADHA PE=1 SV=2",HADHA,82.9,735200.3015854504,2332836.519738925
O95831,"Apoptosis-inducing factor 1, mitochondrial OS=Homo sapiens OX=9606 GN=AIFM1 PE=1 SV=1",AIFM1,66.9,686427.077035318,686003.4294238079
P25490,Transcriptional repressor protein YY1 OS=Homo sapiens OX=9606 GN=YY1 PE=1 SV=2,YY1,44.7,1173525.9845610731,2243770.0406047357
Q4AC94,C2 domain-containing protein 3 OS=Homo sapiens OX=9606 GN=C2CD3 PE=1 SV=4,C2CD3,260.2,416086.81771826174,447188.51972384076
Q9NRY5,Protein FAM114A2 OS=Homo sapiens OX=9606 GN=FAM114A2 PE=1 SV=4,FAM114A2,55.4,220259.89317936674,132169.05093791
Q9Y6I9,Testis-expressed protein 264 OS=Homo sapiens OX=9606 GN=TEX264 PE=1 SV=1,TEX264,34.2,709421.8265880359,750959.41094505
O94804,Serine/threonine-protein kinase 10 OS=Homo sapiens OX=9606 GN=STK10 PE=1 SV=1,STK10,112.1,153593.02218411624,240989.29974604884
O00264,Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3,PGRMC1,21.7,1647259.801819771,3265892.8825914916
O00411,"DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2",POLRMT,138.5,333337.45838469476,1172490.912849245
Q01085,Nucleolysin TIAR OS=Homo sapiens OX=9606 GN=TIAL1 PE=1 SV=1,TIAL1,41.6,367071.44429664477,502327.66289397323
Q9ULK4,Mediator of RNA polymerase II transcription subunit 23 OS=Homo sapiens OX=9606 GN=MED23 PE=1 SV=2,MED23,156.4,429220.00802443083,243305.30231370847
Q9P2R6,Arginine-glutamic acid dipeptide repeats protein OS=Homo sapiens OX=9606 GN=RERE PE=1 SV=2,RERE,172.3,189007.58678056914,93312.29939786256
P49589,"Cysteine--tRNA ligase, cytoplasmic OS=Homo sapiens OX=9606 GN=CARS1 PE=1 SV=3",CARS1,85.4,117634.60760779488,161766.06794770472
Q9NRM7,Serine/threonine-protein kinase LATS2 OS=Homo sapiens OX=9606 GN=LATS2 PE=1 SV=2,LATS2,120.1,116437.94352941624,158734.92013396326
P46100,Transcriptional regulator ATRX OS=Homo sapiens OX=9606 GN=ATRX PE=1 SV=6,ATRX,282.4,620373.4357169028,499797.59161118604
Q69YN4,Protein virilizer homolog OS=Homo sapiens OX=9606 GN=VIRMA PE=1 SV=2,VIRMA,201.9,543495.0291242832,433683.0353538742
Q5HYI8,Rab-like protein 3 OS=Homo sapiens OX=9606 GN=RABL3 PE=1 SV=1,RABL3,26.4,254930.41879457887,912752.3406029431
Q13155,Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 OS=Homo sapiens OX=9606 GN=AIMP2 PE=1 SV=2,AIMP2,35.3,667984.7850141582,1825711.8483730028
O00233,26S proteasome non-ATPase regulatory subunit 9 OS=Homo sapiens OX=9606 GN=PSMD9 PE=1 SV=3,PSMD9,24.7,173952.09675455597,104197.1271522564
Q96ST3,Paired amphipathic helix protein Sin3a OS=Homo sapiens OX=9606 GN=SIN3A PE=1 SV=2,SIN3A,145.1,372498.75649946334,422578.44460421544
O43663,Protein regulator of cytokinesis 1 OS=Homo sapiens OX=9606 GN=PRC1 PE=1 SV=2,PRC1,71.6,407255.1175391235,414411.9816786342
P40261,Nicotinamide N-methyltransferase OS=Homo sapiens OX=9606 GN=NNMT PE=1 SV=1,NNMT,29.6,575711.1545696879,960189.8793422395
O75330,Hyaluronan mediated motility receptor OS=Homo sapiens OX=9606 GN=HMMR PE=1 SV=2,HMMR,84.0,3391727.80676205,204189.7829655119
Q96A72,Protein mago nashi homolog 2 OS=Homo sapiens OX=9606 GN=MAGOHB PE=1 SV=1,MAGOHB,17.3,271312.8394261795,366920.0555216304
Q96JQ2,Calmin OS=Homo sapiens OX=9606 GN=CLMN PE=1 SV=1,CLMN,111.6,800477.4266894198,473933.3261398986
Q9NT62,Ubiquitin-like-conjugating enzyme ATG3 OS=Homo sapiens OX=9606 GN=ATG3 PE=1 SV=1,ATG3,35.8,385294.9013233219,273040.45088937884
Q9HC44,Vasculin-like protein 1 OS=Homo sapiens OX=9606 GN=GPBP1L1 PE=1 SV=1,GPBP1L1,52.3,351860.54119518027,389531.9815835942
O95197,Reticulon-3 OS=Homo sapiens OX=9606 GN=RTN3 PE=1 SV=2,RTN3,112.5,1909901.641430721,879841.2123109569
Q5TGY3,Transcription factor Gibbin OS=Homo sapiens OX=9606 GN=AHDC1 PE=1 SV=1,AHDC1,168.2,137873.45383635777,153209.61725667532
Q96PQ6,Zinc finger protein 317 OS=Homo sapiens OX=9606 GN=ZNF317 PE=1 SV=2,ZNF317,67.9,627060.4252378301,803128.9970841277
P62273,Small ribosomal subunit protein uS14 OS=Homo sapiens OX=9606 GN=RPS29 PE=1 SV=2,RPS29,6.7,3086173.976437287,6239454.300456187
O15533,Tapasin OS=Homo sapiens OX=9606 GN=TAPBP PE=1 SV=2,TAPBP,47.5,824319.8154261939,239349.850094777
Q14318,Peptidyl-prolyl cis-trans isomerase FKBP8 OS=Homo sapiens OX=9606 GN=FKBP8 PE=1 SV=2,FKBP8,44.5,314648.6944313192,452195.54250297503
Q9UK41,Vacuolar protein sorting-associated protein 28 homolog OS=Homo sapiens OX=9606 GN=VPS28 PE=1 SV=1,VPS28,25.4,317851.5013423974,473428.0442925179
P17676,CCAAT/enhancer-binding protein beta OS=Homo sapiens OX=9606 GN=CEBPB PE=1 SV=2,CEBPB,36.1,999142.6928302279,1417293.690112285
Q13162,Peroxiredoxin-4 OS=Homo sapiens OX=9606 GN=PRDX4 PE=1 SV=1,PRDX4,30.5,354464.64570145257,486191.11928358953
Q9NZJ0,Denticleless protein homolog OS=Homo sapiens OX=9606 GN=DTL PE=1 SV=3,DTL,79.4,396546.68538220786,168558.7908204367
Q9HCM4,Band 4.1-like protein 5 OS=Homo sapiens OX=9606 GN=EPB41L5 PE=1 SV=3,EPB41L5,81.8,749048.8530800322,122609.81336933843
Q9BS26,Endoplasmic reticulum resident protein 44 OS=Homo sapiens OX=9606 GN=ERP44 PE=1 SV=1,ERP44,46.9,305314.1909996114,188702.20620060334
Q8IWA0,WD repeat-containing protein 75 OS=Homo sapiens OX=9606 GN=WDR75 PE=1 SV=1,WDR75,94.4,880892.6269662842,687617.8685089642
Q7L8L6,"FAST kinase domain-containing protein 5, mitochondrial OS=Homo sapiens OX=9606 GN=FASTKD5 PE=1 SV=1",FASTKD5,86.5,1446824.622253497,1426194.493843139
Q969Z0,FAST kinase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=TBRG4 PE=1 SV=1,TBRG4,70.7,368702.1130215073,1723924.8806219844
O14964,Hepatocyte growth factor-regulated tyrosine kinase substrate OS=Homo sapiens OX=9606 GN=HGS PE=1 SV=1,HGS,86.1,433433.23619366356,452930.90948594036
Q15019,Septin-2 OS=Homo sapiens OX=9606 GN=SEPTIN2 PE=1 SV=1,SEPTIN2,41.5,483791.1211192204,938703.0263328518
Q9NRC1,Suppressor of tumorigenicity 7 protein OS=Homo sapiens OX=9606 GN=ST7 PE=1 SV=1,ST7,67.1,2762997.651998037,180772.8708065362
P30044,"Peroxiredoxin-5, mitochondrial OS=Homo sapiens OX=9606 GN=PRDX5 PE=1 SV=4",PRDX5,22.1,816829.8221636215,1175722.9299160286
P54198,Protein HIRA OS=Homo sapiens OX=9606 GN=HIRA PE=1 SV=2,HIRA,111.8,1024690.9472832573,1183072.716367355
Q92604,Acyl-CoA:lysophosphatidylglycerol acyltransferase 1 OS=Homo sapiens OX=9606 GN=LPGAT1 PE=1 SV=1,LPGAT1,43.1,157318.1212419327,276632.07281345763
Q53T59,HCLS1-binding protein 3 OS=Homo sapiens OX=9606 GN=HS1BP3 PE=1 SV=1,HS1BP3,42.8,487782.066062368,1451339.0063292934
Q14145,Kelch-like ECH-associated protein 1 OS=Homo sapiens OX=9606 GN=KEAP1 PE=1 SV=2,KEAP1,69.6,209329.68864549225,782960.792470289
Q9H3P7,Golgi resident protein GCP60 OS=Homo sapiens OX=9606 GN=ACBD3 PE=1 SV=4,ACBD3,60.6,373387.4679532748,517571.1099737006
Q8TCT9,Minor histocompatibility antigen H13 OS=Homo sapiens OX=9606 GN=HM13 PE=1 SV=1,HM13,41.5,625529.9276410227,1515676.7258513132
P82912,Small ribosomal subunit protein uS11m OS=Homo sapiens OX=9606 GN=MRPS11 PE=1 SV=2,MRPS11,20.6,353910.60428151424,750433.2031211928
P49902,Cytosolic purine 5'-nucleotidase OS=Homo sapiens OX=9606 GN=NT5C2 PE=1 SV=1,NT5C2,64.9,317816.17612531316,802227.107619125
O14925,Mitochondrial import inner membrane translocase subunit Tim23 OS=Homo sapiens OX=9606 GN=TIMM23 PE=1 SV=1,TIMM23,21.9,489156.3268395079,824336.2669751116
Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial OS=Homo sapiens OX=9606 GN=CLPP PE=1 SV=1",CLPP,30.2,504457.10107351834,377366.9870971238
P26447,Protein S100-A4 OS=Homo sapiens OX=9606 GN=S100A4 PE=1 SV=1,S100A4,11.7,1620556.811230405,2767751.099111265
O14908,PDZ domain-containing protein GIPC1 OS=Homo sapiens OX=9606 GN=GIPC1 PE=1 SV=2,GIPC1,36.0,222701.15175539994,128126.13216153334
P08708,Small ribosomal subunit protein eS17 OS=Homo sapiens OX=9606 GN=RPS17 PE=1 SV=2,RPS17,15.5,2463024.9888617084,7317609.86505088
P52943,Cysteine-rich protein 2 OS=Homo sapiens OX=9606 GN=CRIP2 PE=1 SV=1,CRIP2,22.5,1944372.2845540366,543865.6859574157
P30040,Endoplasmic reticulum resident protein 29 OS=Homo sapiens OX=9606 GN=ERP29 PE=1 SV=4,ERP29,29.0,431626.84814057895,1405163.9880899873
Q13888,General transcription factor IIH subunit 2 OS=Homo sapiens OX=9606 GN=GTF2H2 PE=1 SV=1,GTF2H2,44.4,338083.4000228425,336356.097429575
Q9NRN7,L-aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase OS=Homo sapiens OX=9606 GN=AASDHPPT PE=1 SV=2,AASDHPPT,35.8,613190.1881978367,346266.51916202286
P62995,Transformer-2 protein homolog beta OS=Homo sapiens OX=9606 GN=TRA2B PE=1 SV=1,TRA2B,33.6,982929.2483183822,1273594.8486796203
Q9NRX1,RNA-binding protein PNO1 OS=Homo sapiens OX=9606 GN=PNO1 PE=1 SV=1,PNO1,27.9,530585.3161540321,385152.939310065
P17252,Protein kinase C alpha type OS=Homo sapiens OX=9606 GN=PRKCA PE=1 SV=4,PRKCA,76.7,443354.90961115086,1239619.9363007762
P27487,Dipeptidyl peptidase 4 OS=Homo sapiens OX=9606 GN=DPP4 PE=1 SV=2,DPP4,88.2,419667.6146691241,813897.1826407968
O43474,Krueppel-like factor 4 OS=Homo sapiens OX=9606 GN=KLF4 PE=1 SV=3,KLF4,54.6,540080.4369366656,505554.0058017511
P13797,Plastin-3 OS=Homo sapiens OX=9606 GN=PLS3 PE=1 SV=4,PLS3,70.8,448190.7032250022,200071.12825119557
Q7L2H7,Eukaryotic translation initiation factor 3 subunit M OS=Homo sapiens OX=9606 GN=EIF3M PE=1 SV=1,EIF3M,42.5,411964.98045772564,918276.4362123574
Q96D71,RalBP1-associated Eps domain-containing protein 1 OS=Homo sapiens OX=9606 GN=REPS1 PE=1 SV=3,REPS1,86.6,398004.75095851877,632058.0930905243
P06730,Eukaryotic translation initiation factor 4E OS=Homo sapiens OX=9606 GN=EIF4E PE=1 SV=2,EIF4E,25.1,683724.9405817069,316580.56675220333
O75352,Mannose-P-dolichol utilization defect 1 protein OS=Homo sapiens OX=9606 GN=MPDU1 PE=1 SV=2,MPDU1,26.6,395292.29535255634,873712.2352545866
Q8NHQ9,ATP-dependent RNA helicase DDX55 OS=Homo sapiens OX=9606 GN=DDX55 PE=1 SV=3,DDX55,68.5,264062.01933893084,459238.66279326554
P60059,Protein transport protein Sec61 subunit gamma OS=Homo sapiens OX=9606 GN=SEC61G PE=1 SV=1,SEC61G,7.7,168931.5481685609,387026.1361428047
O95684,Centrosomal protein 43 OS=Homo sapiens OX=9606 GN=CEP43 PE=1 SV=1,CEP43,43.0,531834.5019082094,421872.3538671859
Q32NC0,UPF0711 protein C18orf21 OS=Homo sapiens OX=9606 GN=C18orf21 PE=1 SV=1,C18orf21,24.8,1059388.816097955,1131763.7914953951
P51665,26S proteasome non-ATPase regulatory subunit 7 OS=Homo sapiens OX=9606 GN=PSMD7 PE=1 SV=2,PSMD7,37.0,306633.5610381294,256263.87421578486
Q9Y262,Eukaryotic translation initiation factor 3 subunit L OS=Homo sapiens OX=9606 GN=EIF3L PE=1 SV=1,EIF3L,66.7,297745.24600456795,410452.84729268815
O75381,Peroxisomal membrane protein PEX14 OS=Homo sapiens OX=9606 GN=PEX14 PE=1 SV=1,PEX14,41.2,340107.12883671524,789800.3573365182
Q86U86,Protein polybromo-1 OS=Homo sapiens OX=9606 GN=PBRM1 PE=1 SV=1,PBRM1,192.8,191660.73280296713,214688.0837890287
P05198,Eukaryotic translation initiation factor 2 subunit 1 OS=Homo sapiens OX=9606 GN=EIF2S1 PE=1 SV=3,EIF2S1,36.1,115794.01820570386,3342466.161407196
P06753,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2,TPM3,32.9,855966.6506052399,1275611.348208961
Q9Y4A5,Transformation/transcription domain-associated protein OS=Homo sapiens OX=9606 GN=TRRAP PE=1 SV=3,TRRAP,437.3,93350.96016694324,380849.30097581015
Q92560,Ubiquitin carboxyl-terminal hydrolase BAP1 OS=Homo sapiens OX=9606 GN=BAP1 PE=1 SV=2,BAP1,80.3,287281.7532324893,246373.01022289
O43426,Synaptojanin-1 OS=Homo sapiens OX=9606 GN=SYNJ1 PE=1 SV=2,SYNJ1,173.0,170809.04642002773,424048.87675317767
Q96P48,"Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1 OS=Homo sapiens OX=9606 GN=ARAP1 PE=1 SV=3",ARAP1,162.1,507441.4050420461,1097893.146818571
Q9P0L2,Serine/threonine-protein kinase MARK1 OS=Homo sapiens OX=9606 GN=MARK1 PE=1 SV=2,MARK1,88.9,209446.06007646542,3459918.6069048694
P35080,Profilin-2 OS=Homo sapiens OX=9606 GN=PFN2 PE=1 SV=3,PFN2,15.0,298193.4139430788,1102149.1081323826
O75874,Isocitrate dehydrogenase [NADP] cytoplasmic OS=Homo sapiens OX=9606 GN=IDH1 PE=1 SV=2,IDH1,46.6,691397.741204129,1140669.9675682867
Q7Z2T5,TRMT1-like protein OS=Homo sapiens OX=9606 GN=TRMT1L PE=1 SV=2,TRMT1L,81.7,893406.0806548717,755791.0177021443
P30085,UMP-CMP kinase OS=Homo sapiens OX=9606 GN=CMPK1 PE=1 SV=3,CMPK1,22.2,715461.8640041775,1307309.6149528262
Q92989,Polyribonucleotide 5'-hydroxyl-kinase Clp1 OS=Homo sapiens OX=9606 GN=CLP1 PE=1 SV=1,CLP1,47.6,1040462.1497064574,1569800.15431709
Q14137,Ribosome biogenesis protein BOP1 OS=Homo sapiens OX=9606 GN=BOP1 PE=1 SV=2,BOP1,83.6,626866.4622101848,630816.7802628477
Q2M389,WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=2,WASHC4,136.3,82890.08549663691,493713.62552537123
Q7L1Q6,eIF5-mimic protein 2 OS=Homo sapiens OX=9606 GN=BZW1 PE=1 SV=1,BZW1,48.0,434486.1984128115,870640.1610599287
P29966,Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens OX=9606 GN=MARCKS PE=1 SV=4,MARCKS,31.5,392181.1475459661,1115154.0592419382
Q96J01,THO complex subunit 3 OS=Homo sapiens OX=9606 GN=THOC3 PE=1 SV=1,THOC3,38.7,1432190.1996198439,1184631.0376175183
Q9H1E3,Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens OX=9606 GN=NUCKS1 PE=1 SV=1,NUCKS1,27.3,2224368.077665001,2694459.4812233653
Q9Y546,Leucine-rich repeat-containing protein 42 OS=Homo sapiens OX=9606 GN=LRRC42 PE=1 SV=1,LRRC42,48.5,502739.5241410425,206924.46603174988
Q96EU6,Ribosomal RNA processing protein 36 homolog OS=Homo sapiens OX=9606 GN=RRP36 PE=1 SV=1,RRP36,29.8,415199.47278586315,264103.6705758904
O96013,Serine/threonine-protein kinase PAK 4 OS=Homo sapiens OX=9606 GN=PAK4 PE=1 SV=1,PAK4,64.0,196702.45608524772,652423.3338819066
Q99614,Tetratricopeptide repeat protein 1 OS=Homo sapiens OX=9606 GN=TTC1 PE=1 SV=1,TTC1,33.5,211306.9046464146,346593.0650007112
P40938,Replication factor C subunit 3 OS=Homo sapiens OX=9606 GN=RFC3 PE=1 SV=2,RFC3,40.5,106606.2817279846,525851.056079404
P10155,RNA-binding protein RO60 OS=Homo sapiens OX=9606 GN=RO60 PE=1 SV=2,RO60,60.6,710245.9028561411,1170177.908330138
P14324,Farnesyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=FDPS PE=1 SV=4,FDPS,48.2,428050.62328939704,209606.7737934031
Q9HC38,Glyoxalase domain-containing protein 4 OS=Homo sapiens OX=9606 GN=GLOD4 PE=1 SV=1,GLOD4,34.8,266456.78425885586,394606.2894255527
P42766,Large ribosomal subunit protein uL29 OS=Homo sapiens OX=9606 GN=RPL35 PE=1 SV=2,RPL35,14.5,799688.8927492775,2179068.1286075013
P04080,Cystatin-B OS=Homo sapiens OX=9606 GN=CSTB PE=1 SV=2,CSTB,11.1,414605.3169382814,781098.3705033216
O14965,Aurora kinase A OS=Homo sapiens OX=9606 GN=AURKA PE=1 SV=3,AURKA,45.8,127379.25903178795,234468.94656617564
Q9P2R7,"Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLA2 PE=1 SV=3",SUCLA2,50.3,972640.2232941661,1732225.18931249
O43169,Cytochrome b5 type B OS=Homo sapiens OX=9606 GN=CYB5B PE=1 SV=3,CYB5B,16.7,290585.3889898727,654752.2743369454
O15243,Leptin receptor gene-related protein OS=Homo sapiens OX=9606 GN=LEPROT PE=1 SV=1,LEPROT,14.2,271967.058359787,322116.77528261644
Q15043,Metal cation symporter ZIP14 OS=Homo sapiens OX=9606 GN=SLC39A14 PE=1 SV=3,SLC39A14,54.2,381704.8580032734,521221.84778132534
P62070,Ras-related protein R-Ras2 OS=Homo sapiens OX=9606 GN=RRAS2 PE=1 SV=1,RRAS2,23.4,547466.4596308059,876966.9087151325
Q9UHI6,Probable ATP-dependent RNA helicase DDX20 OS=Homo sapiens OX=9606 GN=DDX20 PE=1 SV=2,DDX20,92.2,286885.7685322309,1220556.3918518836
P25786,Proteasome subunit alpha type-1 OS=Homo sapiens OX=9606 GN=PSMA1 PE=1 SV=1,PSMA1,29.5,367419.4985776272,893919.042258685
Q8N9Q2,Protein SREK1IP1 OS=Homo sapiens OX=9606 GN=SREK1IP1 PE=1 SV=1,SREK1IP1,18.2,4911973.581132888,10824757.082928948
Q96P70,Importin-9 OS=Homo sapiens OX=9606 GN=IPO9 PE=1 SV=3,IPO9,115.9,145278.17360852103,179594.21518150152
Q9HCG8,Pre-mRNA-splicing factor CWC22 homolog OS=Homo sapiens OX=9606 GN=CWC22 PE=1 SV=3,CWC22,105.4,186263.9885347441,225509.21810252243
Q9GZZ1,N-alpha-acetyltransferase 50 OS=Homo sapiens OX=9606 GN=NAA50 PE=1 SV=1,NAA50,19.4,527950.8352815866,762675.543236101
Q6NXT4,Zinc transporter 6 OS=Homo sapiens OX=9606 GN=SLC30A6 PE=1 SV=2,SLC30A6,51.1,439984.92732348805,1062398.0628543708
Q9ULX6,A-kinase anchor protein 8-like OS=Homo sapiens OX=9606 GN=AKAP8L PE=1 SV=4,AKAP8L,71.6,163815.50910963054,902363.2170374659
Q5T6V5,Queuosine 5'-phosphate N-glycosylase/hydrolase OS=Homo sapiens OX=9606 GN=QNG1 PE=1 SV=1,QNG1,39.0,95747.7046272327,359836.1295772109
Q13118,Krueppel-like factor 10 OS=Homo sapiens OX=9606 GN=KLF10 PE=1 SV=1,KLF10,52.5,645756.1303537094,2285920.3094491633
O14976,Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2,GAK,143.1,1786943.6027899424,425521.72343788715
P21675,Transcription initiation factor TFIID subunit 1 OS=Homo sapiens OX=9606 GN=TAF1 PE=1 SV=3,TAF1,214.6,446163.92847321386,1456224.5377180772
Q96D15,Reticulocalbin-3 OS=Homo sapiens OX=9606 GN=RCN3 PE=1 SV=1,RCN3,37.5,164329.79369631386,765268.3320849239
O15067,Phosphoribosylformylglycinamidine synthase OS=Homo sapiens OX=9606 GN=PFAS PE=1 SV=4,PFAS,144.6,380519.9434547998,1062316.6728785564
Q9UGJ0,5'-AMP-activated protein kinase subunit gamma-2 OS=Homo sapiens OX=9606 GN=PRKAG2 PE=1 SV=1,PRKAG2,63.0,308509.8843366057,844751.528898725
Q13564,NEDD8-activating enzyme E1 regulatory subunit OS=Homo sapiens OX=9606 GN=NAE1 PE=1 SV=1,NAE1,60.2,208751.8799699524,2119861.217063926
Q8IXW5,Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 OS=Homo sapiens OX=9606 GN=RPAP2 PE=1 SV=1,RPAP2,69.5,494336.07197729603,2585561.8415142433
Q7Z6Z7,E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens OX=9606 GN=HUWE1 PE=1 SV=3,HUWE1,481.6,97718.72658249855,1101712.1978889124
Q9NP80,Calcium-independent phospholipase A2-gamma OS=Homo sapiens OX=9606 GN=PNPLA8 PE=1 SV=1,PNPLA8,88.4,338392.38711689046,529648.6781449883
Q04837,"Single-stranded DNA-binding protein, mitochondrial OS=Homo sapiens OX=9606 GN=SSBP1 PE=1 SV=1",SSBP1,17.2,154473.2152287465,2481996.7492755344
Q8IY47,Kelch repeat and BTB domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KBTBD2 PE=1 SV=2,KBTBD2,71.3,137147.83096612044,1178597.7566612652
Q9NXE8,Pre-mRNA-splicing factor CWC25 homolog OS=Homo sapiens OX=9606 GN=CWC25 PE=1 SV=1,CWC25,49.6,589111.8254783923,640931.793657615
P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADVL PE=1 SV=1",ACADVL,70.3,96342.44156569563,203528.15992849477
Q9BY42,Replication termination factor 2 OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=3,RTF2,33.9,10586973.67757145,530746.1450055207
Q00577,Transcriptional activator protein Pur-alpha OS=Homo sapiens OX=9606 GN=PURA PE=1 SV=2,PURA,34.9,498621.9524707111,249526.75608919963
